2025-06-09 12:28:00 | BIDUSDT | SHORT | -4.66% -> STOP
2025-06-09 13:19:00 | BIDUSDT | LONG | 4.45% -> TAKE
2025-06-09 14:50:00 | BIDUSDT | LONG | 4.3% -> TAKE
2025-06-16 21:44:00 | BIDUSDT | LONG | 4.21% -> TAKE
2025-06-18 03:19:00 | BIDUSDT | LONG | 10.45% -> TAKE
2025-06-19 12:00:00 | BIDUSDT | SHORT | -4.47% -> STOP
2025-06-20 07:00:00 | BIDUSDT | LONG | 4.34% -> STOP
2025-06-23 04:03:00 | BIDUSDT | LONG | 4.21% -> STOP
2025-06-23 04:05:00 | BIDUSDT | SHORT | -15.4% -> STOP
2025-06-27 02:09:00 | BIDUSDT | LONG | 4.28% -> TAKE
2025-06-25 04:15:00 | TUTUSDT | SHORT | -6.07% -> STOP
2025-07-01 19:52:00 | TUTUSDT | LONG | 8.35% -> TAKE
2025-07-01 13:48:00 | BROCCOLI714USDT | SHORT | -4.08% -> STOP
2025-07-04 06:22:00 | BROCCOLIF3BUSDT | SHORT | -11.07% -> TAKE
2025-06-18 13:16:00 | SIRENUSDT | LONG | 9.03% -> STOP
2025-06-18 13:20:00 | SIRENUSDT | LONG | 4.08% -> STOP
2025-06-20 12:19:00 | SIRENUSDT | SHORT | -6.03% -> STOP
2025-06-20 12:22:00 | SIRENUSDT | LONG | 7.47% -> STOP
2025-06-21 03:15:00 | SIRENUSDT | SHORT | -21.89% -> STOP
2025-06-21 03:57:00 | SIRENUSDT | SHORT | -4.36% -> TAKE
2025-06-21 04:02:00 | SIRENUSDT | SHORT | -5.52% -> STOP
2025-06-21 04:15:00 | SIRENUSDT | LONG | 5.05% -> STOP
2025-06-21 05:06:00 | SIRENUSDT | LONG | 5.15% -> STOP
2025-06-21 06:05:00 | SIRENUSDT | SHORT | -5.24% -> STOP
2025-06-27 15:17:00 | SIRENUSDT | SHORT | -7.36% -> STOP
2025-06-07 15:24:00 | BANANAS31USDT | SHORT | -4.12% -> TAKE
2025-06-18 13:16:00 | BANANAS31USDT | SHORT | -9.27% -> STOP
2025-06-18 13:19:00 | BANANAS31USDT | LONG | 5.87% -> STOP
2025-06-18 13:27:00 | BANANAS31USDT | LONG | 4.34% -> STOP
2025-06-21 22:22:00 | BANANAS31USDT | LONG | 4.29% -> STOP
2025-06-23 05:41:00 | BANANAS31USDT | SHORT | -8.12% -> STOP
2025-06-23 22:25:00 | BANANAS31USDT | LONG | 8.7% -> STOP
2025-06-23 22:27:00 | BANANAS31USDT | SHORT | -4.17% -> STOP
2025-06-23 23:45:00 | BANANAS31USDT | LONG | 7.17% -> STOP
2025-06-24 02:08:00 | BANANAS31USDT | LONG | 4.01% -> STOP
2025-06-25 03:19:00 | BANANAS31USDT | LONG | 4.17% -> STOP
2025-06-25 12:27:00 | BANANAS31USDT | SHORT | -9.68% -> STOP
2025-06-25 12:29:00 | BANANAS31USDT | SHORT | -4.32% -> TAKE
2025-06-25 12:31:00 | BANANAS31USDT | LONG | 5.0% -> STOP
2025-06-26 09:40:00 | BANANAS31USDT | SHORT | -4.19% -> STOP
2025-06-26 18:30:00 | BANANAS31USDT | LONG | 5.92% -> STOP
2025-06-26 18:33:00 | BANANAS31USDT | SHORT | -9.36% -> STOP
2025-06-26 18:59:00 | BANANAS31USDT | LONG | 15.35% -> STOP
2025-06-26 19:01:00 | BANANAS31USDT | SHORT | -6.02% -> STOP
2025-06-26 19:04:00 | BANANAS31USDT | SHORT | -10.22% -> STOP
2025-06-26 19:06:00 | BANANAS31USDT | SHORT | -4.04% -> STOP
2025-06-26 19:11:00 | BANANAS31USDT | LONG | 4.03% -> TAKE
2025-06-26 19:22:00 | BANANAS31USDT | SHORT | -4.23% -> STOP
2025-06-27 01:56:00 | BANANAS31USDT | LONG | 7.56% -> STOP
2025-06-27 06:06:00 | BANANAS31USDT | LONG | 5.12% -> STOP
2025-06-27 06:51:00 | BANANAS31USDT | LONG | 4.15% -> TAKE
2025-06-27 14:21:00 | BANANAS31USDT | SHORT | -4.83% -> STOP
2025-06-27 14:23:00 | BANANAS31USDT | LONG | 5.39% -> STOP
2025-06-28 03:00:00 | BANANAS31USDT | LONG | 4.21% -> TAKE
2025-06-28 10:18:00 | BANANAS31USDT | LONG | 4.7% -> TAKE
2025-06-23 21:29:00 | BRUSDT | LONG | 4.2% -> STOP
2025-06-23 21:32:00 | BRUSDT | LONG | 12.79% -> STOP
2025-06-23 21:35:00 | BRUSDT | LONG | 4.47% -> STOP
2025-07-03 16:41:00 | BRUSDT | SHORT | -41.96% -> TAKE
2025-07-03 16:44:00 | BRUSDT | LONG | 21.36% -> STOP
2025-07-03 16:46:00 | BRUSDT | LONG | 6.1% -> STOP
2025-07-03 21:05:00 | BRUSDT | LONG | 4.02% -> STOP
2025-07-03 21:18:00 | BRUSDT | LONG | 6.7% -> STOP
